id,image_name,grade,ip,agent,date
1,yim13.png,5,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:22:56
2,yim9.png,6,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:01
3,yim3.png,4,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:03
4,yim8.png,5,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:05
5,yim45.png,6,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:07
6,yim47.png,7,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:09
7,yim48.png,2,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:11
8,yim39.png,3,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:13
9,yim46.png,6,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:15
10,yim7.png,5,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:17
11,yim40.png,4,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:20
12,yim5.png,4,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:22
13,yim49.png,4,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:25
14,yim6.png,3,::ffff:128.255.32.143,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15",2018-12-19 00:23:28
