13,5
9,6
3,4
8,5
45,6
47,7
48,2
39,3
46,6
7,5
40,4
5,4
49,4
6,3
17,3
27,6
26,7
41,5
28,4
43,7
29,5
44,4
42,6
38,4
4,4
23,3
16,2
22,2
12,7
25,5
24,5
30,4
34,8
37,5
11,4
20,3
35,5
21,3
36,4
31,7
32,6
33,5
0,6
15,7
2,6
10,8
14,8
1,7
19,6
18,4
35,5
8,7
0,6
49,5
1,6
6,4
29,3
40,4
36,4
11,2
10,8
17,5
37,4
9,6
45,7
7,5
16,6
3,4
46,4
44,5
13,5
19,6
2,5
5,8
43,8
47,7
34,7
39,5
18,4
20,3
48,5
14,7
38,4
33,3
15,5
42,5
4,4
31,7
28,5
24,5
25,5
12,5
41,5
32,6
30,6
23,6
22,3
26,7
21,4
27,4
1,5
0,7
6,6
40,4
46,5
9,3
8,5
48,5
32,5
5,4
8,5
9,6
29,4
38,3
7,3
10,4
49,4
48,2
39,2
36,4
13,4
6,4
47,5
45,6
18,2
1,5
22,2
40,3
46,5
4,2
37,5
42,4
41,4
44,3
0,4
31,4
17,5
12,5
28,3
16,2
26,5
43,6
19,4
20,2
14,4
34,6
11,4
15,4
21,2
2,5
35,4
30,5
25,5
24,5
23,2
3,3
27,4
33,3
9,5
8,5
20,3
27,5
5,3
11,4
21,2
48,4
40,4
39,1
13,3
12,6
27,4
9,5
8,6
31,7
19,6
47,7
12,6
18,4
39,3
40,4
20,3
1,6
43,7
3,4
46,3
29,3
16,2
7,3
11,3
48,2
10,6
6,4
2,5
17,6
28,6
42,5
45,4
0,4
49,4
41,4
14,6
21,3
5,5
32,6
37,5
22,4
44,3
4,5
38,4
13,4
15,6
30,6
26,7
25,6
33,4
23,3
36,4
27,3
24,3
34,3
35,6
35,9
31,9
0,4
37,3
36,0
18,2
39,7
2,7
34,1
8,2
9,2
46,2
43,0
45,5
39,3
47,7
33,4
49,9
23,5
13,5
20,3
3,6
28,5
15,5
6,5
4,5
7,5
41,5
27,5
42,5
32,5
1,5
9,6
43,6
11,4
9,5
48,3
21,2
